Job,Date,Cost,Vendor,Description,
Cawley,7/13/2019,$123.39,San Lorenzo Lumber,"brackets, screws",
Seacliff,7/13/2019,-$184.38,San Lorenzo Lumber,return,
Seacliff,7/15/2019,$93.06,Big Creek,"cable cutter, fascia screws",
Seacliff,7/15/2019,$46.72,San Lorenzo Lumber,lumber,
Seacliff,7/15/2019,$8.62,San Lorenzo Lumber,quick connect tool,
Seacliff,7/16/2019,$5.95,San Lorenzo Lumber,jobber,
Seacliff,7/17/2019,$27.71,San Lorenzo Lumber,"screw, washer, bit",
Semple,7/17/2019,$58.94,Home Depot,"wire, connector, small misc",
Cawley,7/18/2019,$33.07,San Lorenzo Lumber,faucet tool,
Cawley,7/18/2019,$22.31,San Lorenzo Lumber,bracket,
Cawley,7/18/2019,$54.03,San Lorenzo Lumber,bracket,
Seacliff,7/18/2019,$3.22,San Lorenzo Lumber,jobber,
Seacliff,7/19/2019,$163.55,San Lorenzo Lumber,lumber,
Semple,7/22/2019,$143.28,Home Depot,medicine cabinet,
Semple,7/22/2019,$192.72,Graniterock,"denshield, wallboard",
Semple,7/22/2019,$46.91,Home Depot,insulation roll,
Semple,7/22/2019,$35.50,Buena Vista Landfill,dump,
Seacliff,7/23/2019,$201.87,San Lorenzo Lumber,lumber,
Semple,7/23/2019,$15.88,Home Depot,joint compound,
Cawley,7/24/2019,-$39.16,San Lorenzo Lumber,return,
Cawley,7/24/2019,-$88.80,San Lorenzo Lumber,return,
Seacliff,7/24/2019,-$4.00,San Lorenzo Lumber,return,
Pepperwood,7/24/2019,$138.30,Home Depot,"ice maker outlet box, shrink coil wire",
Seacliff,7/25/2019,$114.13,Big Creek,"screw, other misc",
Semple,7/25/2019,$184.48,Ferguson,coil aquapex,
Pepperwood,7/25/2019,$23.22,San Lorenzo Lumber,lumber,
Seacliff,7/26/2019,$92.65,San Lorenzo Lumber,milgard,
Pepperwood,7/26/2019,$92.61,San Lorenzo Lumber,"small misc, lumber",
Pepperwood,7/26/2019,$35.19,Home Depot,insulation ,
Cawley,7/29/2019,$6.99,San Lorenzo Lumber,casing,
Seacliff,7/29/2019,$22.92,San Lorenzo Lumber,"nails, shims, brad",
Semple,7/29/2019,$118.25,Home Depot,primer,
Pepperwood,7/29/2019,$46.68,San Lorenzo Lumber,"painters tape, adhesive spray",
Pepperwood,7/30/2019,$109.90,Home Depot,"insulation, button gfci, other misc",
Semple,8/2/2019,$67.21,Home Depot,"paint, sponges",
Cawley,8/6/2019,$52.41,Home Depot,"LED disk, can retrofit kit",
Pepperwood,8/6/2019,$4.60,Home Depot,washers,
Semple,8/7/2019,$24.53,Big Creek,plywood,
Cawley,8/8/2019,$20.60,City of SC Landfill,dump,
Semple,8/8/2019,$109.06,Home Depot,"baseboard molding, hinges",
Semple,8/8/2019,$425.08,Ferguson,faucets,
Seascape,8/9/2019,$25.67,San Lorenzo Lumber,drywall,
Seascape,8/12/2019,$55.85,San Lorenzo Lumber,"flashing, lumber",
Seacliff,8/14/2019,"$3,343.03",San Lorenzo Lumber,door,
Seascape,8/14/2019,$9.68,San Lorenzo Lumber,lumber,
Seascape,8/14/2019,$110.62,Big Creek,"flashing, lumber",
Seascape,8/14/2019,$46.73,San Lorenzo Lumber,lumber,
Seacliff,8/19/2019,$92.65,San Lorenzo Lumber,milgard,
Seacliff,8/19/2019,$318.82,Big Creek,"screw, staples, flashing,stapler",
Seacliff,8/20/2019,$29.68,San Lorenzo Lumber,casing,
Seacliff,8/20/2019,$19.61,San Lorenzo Lumber,trim head,
Seascape,8/20/2019,$19.61,San Lorenzo Lumber,trim head fin,
Seascape,8/20/2019,$29.68,San Lorenzo Lumber,casing,
Seascape,8/20/2019,$22.41,San Lorenzo Lumber,roll,
mattison,8/20/2019,$156.89,Sherwin Williams,paint,
Seacliff,8/21/2019,$6.99,San Lorenzo Lumber,casing,
Seascape,8/21/2019,$5.48,San Lorenzo Lumber,shims,
Seascape,8/22/2019,$97.07,graniterock,cornerbead,
mattison,8/22/2019,$33.01,San Lorenzo Lumber,lumber,
mattison,8/22/2019,$274.88,San Lorenzo Lumber,lumber,
Seacliff,8/23/2019,-$76.04,Big Creek,return,
mattison,8/28/2019,$20.83,San Lorenzo Lumber,contractor cover,
mattison,8/28/2019,$42.62,San Lorenzo Lumber,lumber,
Semple,8/29/2019,$36.14,San Lorenzo Lumber,"switch, decorator plate",
Semple,8/29/2019,$88.48,Home Depot,"shower head, shower arm",
Semple,8/29/2019,$270.19,Provision Glass & Window,"mirror, labor",
mattison,8/29/2019,"$3,496.17",ABC Supply co.,"plank primed, hardie",
mattison,8/31/2019,$165.80,D&G Sanitation,portapotty,
mattison,9/3/2019,$566.37,San Lorenzo Lumber,"tyvek, flashing",
mattison,9/3/2019,$55.62,Home Depot,"blade, tip, hardhat",
mattison,9/4/2019,$17.64,San Lorenzo Lumber,shank,
Pepperwood,9/5/2019,$46.74,Home Depot,red oak natural,
mattison,9/5/2019,$80.35,Home Depot,"dynaflex, staples, cloth",
mattison,9/5/2019,"$5,954.03",San Lorenzo Lumber,"windows, casement, awning",
Semple,9/9/2019,"$2,685.00",Showcase Shower Door Co.,"shower inclosure, installation",
Seascape,9/10/2019,$84.89,San Lorenzo Lumber,"stool, stop",
mattison,9/10/2019,$65.27,San Lorenzo Lumber,sealant,
mattison,9/11/2019,$179.41,San Lorenzo Lumber,trim   ,
Semple,9/12/2019,$19.62,Provision Glass & Window,misc parts,
Semple,9/12/2019,$151.35,San Lorenzo Lumber,"breaker, spackling, misc",
mattison,9/12/2019,"$2,435.06",San Lorenzo Lumber,flat panels,
Cawley,9/13/2019,$77.87,Home Depot,"binder bar, carpet metal, brush",
Cawley,9/13/2019,$12.21,Home Depot,"nipple, coupling",
mattison,9/14/2019,$146.04,San Lorenzo Lumber,boise cascade,
mattison,9/16/2019,$24.00,Buena Vista Landfill,dump,
mattison,9/16/2019,$58.52,San Lorenzo Lumber,trim board,
mattison,9/16/2019,$122.62,ABC Supply co.,"roof to wall, shinglel starter",
mattison,9/16/2019,$205.74,ABC Supply co.,roof deck protector,
mattison,9/18/2019,$13.57,San Lorenzo Lumber,carpenter's scratch pad,
mattison,9/18/2019,$83.74,San Lorenzo Lumber,trim board,
mattison,9/18/2019,$40.70,San Lorenzo Lumber,flashing,
mattison,9/18/2019,$38.32,San Lorenzo Lumber,"sanding respirator, flashing",
Semple,9/19/2019,$31.44,San Lorenzo Lumber,"door lock, latch",
mattison,9/19/2019,$110.62,Sherwin Williams,paint,
mattison,9/19/2019,$36.89,Home Depot,"brushes, breaker",
mattison,9/19/2019,$56.80,San Lorenzo Lumber,sealant,
mattison,9/19/2019,$9.98,San Lorenzo Lumber,sealant,
mattison,9/19/2019,$400.00,Interlite Skylite,,
mattison,9/19/2019,$10.88,San Lorenzo Lumber,sealant,
mattison,9/21/2019,$43.60,D&G Sanitation,portapotty,
mattison,9/24/2019,$202.06,Big Creek,siding nail,
Semple,9/30/2019,$304.76,San Lorenzo Lumber,glue chip glass,
mattison,9/30/2019,$98.00,A Equipment Tool Shed Rentals,demolition hammer,
mattison,10/1/2019,$48.50,Buena Vista Landfill,dump,
mattison,10/1/2019,$226.18,San Lorenzo Lumber,"shear joist hanger, wall spacer",
mattison,10/2/2019,$44.92,San Lorenzo Lumber,"joist nail, wood preserve spray",
mattison,10/2/2019,$79.33,San Lorenzo Lumber,"round post, lumber",
mattison,10/2/2019,$337.63,San Lorenzo Lumber,"cap base, lumber",
mattison,10/2/2019,$196.00,A Equipment Tool Shed Rentals,demolition hammer,
mattison,10/3/2019,$61.11,San Lorenzo Lumber,"sheathing, lumber",
mattison,10/4/2019,$63.18,San Lorenzo Lumber,lumber,
mattison,10/7/2019,$312.95,Home Depot,"hammer tacker, roof edge",
mattison,10/8/2019,$237.15,San Lorenzo Lumber,lumber,
mattison,10/8/2019,$312.74,San Lorenzo Lumber,"post base, post cap, tension tie, other misc",
mattison,10/10/2019,$118.09,San Lorenzo Lumber,"trim, lumber",
mattison,10/14/2019,$113.88,Sherwin Williams,paint,
mattison,10/14/2019,$23.58,San Lorenzo Lumber,nails,
mattison,10/15/2019,$99.05,San Lorenzo Lumber,"latex, sealant, roofing nail",
mattison,10/15/2019,$86.87,San Lorenzo Lumber,"sheathing, lumber",
mattison,10/16/2019,$80.68,San Lorenzo Lumber,fascia,
mattison,10/16/2019,"$6,270.02",ABC Supply co.,,
mattison,10/18/2019,$39.15,Home Depot,"mould puller, knee pad",
mattison,10/22/2019,$51.67,Home Depot,roof bracket,
mattison,10/22/2019,$188.03,San Lorenzo Lumber,jiffy seal,
mattison,10/23/2019,$24.00,Buena Vista Landfill,dump,
mattison,10/23/2019,$31.59,San Lorenzo Lumber,lumber,
mattison,10/23/2019,$31.18,San Lorenzo Lumber,lumber,
mattison,10/24/2019,$100.40,San Lorenzo Lumber,"trim, putty, brown spray",
mattison,10/25/2019,$29.54,Sherwin Williams,"paint, pail liner",
mattison,10/28/2019,$64.24,San Lorenzo Lumber,lumber,
mattison,10/29/2019,$162.45,San Lorenzo Lumber,"drywall, roll",
mattison,10/31/2019,$9.96,Home Depot,roof edge,
mattison,10/31/2019,$99.85,ABC Supply co.,,
mattison,10/31/2019,"$2,516.81",San Lorenzo Lumber,panels,
mattison,10/31/2019,$188.68,San Lorenzo Lumber,"dry wall, post base, lumber",
mattison,10/31/2019,$174.40,D&G Sanitation,portapotty,
mattison,11/1/2019,$51.74,Home Depot,flashing,
mattison,11/4/2019,$8.03,San Lorenzo Lumber,28 gallon galv,
mattison,11/4/2019,$90.19,San Lorenzo Lumber,"sealant, tape, other misc",
mattison,11/5/2019,$147.95,Buena Vista Landfill,"wall spacer, luist hanger, lumber",
mattison,11/5/2019,-$63.40,San Lorenzo Lumber,return,
mattison,11/5/2019,$941.76,Interlite Skylite,"skylight, extension pole",
mattison,11/6/2019,$50.15,Home Depot,"foam, foam tape",
mattison,11/6/2019,$135.16,San Lorenzo Lumber,miratec trim,
mattison,11/7/2019,$20.16,Aptos Hardware,masking tape and paper,
mattison,11/8/2019,$149.93,San Lorenzo Lumber,"rustoleum spray, miratex trim",
mattison,11/8/2019,$101.42,Big Creek,exterior screw,
mattison,11/12/2019,$22.77,Buena Vista Landfill,lumber,
mattison,11/12/2019,$59.81,San Lorenzo Lumber,"fastener, jost nail",
mattison,11/12/2019,$73.12,San Lorenzo Lumber,lumber,
mattison,11/12/2019,$18.72,Home Depot,"coupling, flashing, nipple",
mattison,11/12/2019,$78.12,San Lorenzo Lumber,miratec trim,
mattison,11/18/2019,$37.37,Home Depot,roof edge,
mattison,11/18/2019,$110.91,San Lorenzo Lumber,stylecraft lumber,
mattison,11/18/2019,$119.21,San Lorenzo Lumber,lumber,
mattison,11/18/2019,$8.68,Home Depot,primer,
mattison,11/19/2019,$67.58,San Lorenzo Lumber,miratec trim,
mattison,11/19/2019,$310.89,Big Creek,"ground contact, lumber",
mattison,11/19/2019,$23.36,United Rentals,stripping pad,
mattison,11/20/2019,$511.01,Big Creek,lumber,
mattison,11/20/2019,$50.60,San Lorenzo Lumber,handy pak,
mattison,11/21/2019,$570.21,Big Creek,lumber,
mattison,11/21/2019,$248.63,A Equipment Tool Shed Rentals,"hardwood floor sander, sandpaper",
mattison,11/21/2019,$39.92,San Lorenzo Lumber,lumber,
mattison,11/21/2019,$355.34,Big Creek,"joinst hanger, roofing screw, lumber",
mattison,11/21/2019,$505.49,Big Creek,skyline  ,
mattison,11/25/2019,$55.36,Home Depot,sash oil,
mattison,11/25/2019,$75.03,San Lorenzo Lumber,lumber,
mattison,11/25/2019,$29.16,Aptos Hardware,"bucket, pail",
huntington,11/27/2019,$154.35,D&G Sanitation,portable toilet,
mattison,11/27/2019,$65.27,San Lorenzo Lumber,sealant,
mattison,11/30/2019,$130.80,D&G Sanitation,portapotty,
mattison,12/1/2019,"$2,245.00",Ray Evans,materials and labor,
mattison,12/1/2019,"$2,585.00",Ray Evans,materials and labor,
mattison,12/3/2019,$81.16,Big Creek,"lumber, screws",
mattison,12/6/2019,$22.18,Aptos Landscape Supplly,granite,
mattison,12/9/2019,$29.61,Big Creek,protection wrap,
mattison,12/11/2019,$63.54,Home Depot,deckmate red,
mattison,12/11/2019,$106.29,San Lorenzo Lumber,"lumber, fence bracket",
mattison,12/13/2019,$8.74,Home Depot,paint,
mattison,12/16/2019,"$5,954.03",San Lorenzo Lumber,"windows, awning",
mattison,12/16/2019,$70.37,Home Depot,insulation roll,
mattison,12/17/2019,$248.63,A Tool Shed,"sandpaper, backup pad",
mattison,12/18/2019,$48.18,Home Depot,"flashing, house wrap",
mattison,12/21/2019,$70.83,San Lorenzo Lumber,"stand bracket, blade",
mattison,12/23/2019,$186.01,Big Creek,"lumber, nails",
mattison,12/26/2019,$118.89,San Lorenzo Lumber,trim,
mattison,1/2/2020,$24.30,Home Depot,"cover, duct tape",
mattison,1/22/2020,$347.02,San Lorenzo Lumber,lumber  ,
mattison,1/22/2020,$14.15,Western Roofing Supply,"elbow, downspout",
mattison,1/22/2020,$903.62,Big Creek,"trex fasteners, trex, lumber",
mattison,1/22/2020,$27.60,Big Creek,"concrete, deck post base",
mattison,1/23/2020,$140.61,Big Creek,"lumber, screw, joist hange",
mattison,1/30/2020,$104.55,San Lorenzo Lumber,"concrete mix, rebar, spacer",
mattison,1/31/2020,$130.00,D&G Sanitation,portapotty,
mattison,1/31/2020,$46.00,Ewing Irrigation & Landscape,burlap trash square,
mattison,1/31/2020,$123.95,San Lorenzo Lumber,"concrete mix, rebar",
mattison,2/4/2020,$40.68,San Lorenzo Lumber,"seal spray, post base",
mattison,2/4/2020,$316.53,Big Creek,"ground contact, lumber, scew, post cap",
mattison,2/4/2020,$97.65,San Lorenzo Lumber,"lumber, concrete mix",
mattison,2/6/2020,$70.29,San Lorenzo Lumber,"screws, bolt, clamp",
mattison,2/6/2020,$179.04,San Lorenzo Lumber,lumber,
mattison,2/6/2020,$12.40,San Lorenzo Lumber,framing anchor,
mattison,2/11/2020,$577.64,Big Creek,"lumber, screw",
mattison,2/13/2020,$355.51,Big Creek,"lumber, base, casing, saw blade",
mattison,2/13/2020,$24.24,San Lorenzo Lumber,containers,
mattison,2/18/2020,$79.13,San Lorenzo Lumber,"hinge iron, latch",
mattison,2/27/2020,$15.58,Home Depot,"screw, staple, small misc",
Capitola,2/28/2020,$43.40,City of SC,dump,
Capitola,2/28/2020,"$2,512.86",Two Stone Cabinets & Tile,"hall bath, shower",
Capitola,2/28/2020,$161.98,Independent Electic,,
Capitola,2/28/2020,"$1,261.20",Home Depot,"shower base, trench, drain",
mattison,3/2/2020,$68.19,Home Depot,"leveler, primer",
Capitola,3/3/2020,$22.74,Home Depot,"pipe, coupling, cement",
Capitola,3/4/2020,$73.88,Home Depot,"duct connector, elbow",
Capitola,3/4/2020,$665.86,IES,"fans, humidity sensor",
Capitola,3/6/2020,$291.13,Home Depot,"holesaw, cabinet, other misc",
Capitola,3/9/2020,$209.65,Graniterock,"denshield, wallboard",
Capitola,3/10/2020,$27.17,Slakey Brothers,Backdraft,
Capitola,3/11/2020,$16.06,Home Depot,lumber,
Capitola,3/11/2020,"$4,007.50",Two Stone Cabinets & Tile,"vanity sink, cabinet, moulding",
Capitola,3/11/2020,"$3,935.60",Tile Outlet,"vanity cabinet, wall cabinet, sink",
Capitola,3/12/2020,$263.83,Home Depot,"highline arc, switch, wallplate",
Capitola,3/12/2020,$72.10,Home Depot,"plywood, tote",
Capitola,3/13/2020,$44.71,Home Depot,"toilet seal, screw, faucet",
Capitola,3/13/2020,$15.92,Home Depot,toilet   ,
Capitola,3/14/2020,$209.65,Graniterock,,
Capitola,3/16/2020,$49.87,Home Depot,"spray paint, gloves, bags",
Capitola,3/17/2020,$726.21,San Lorenzo Lumber,"door, labor",
Capitola,3/18/2020,$19.64,Home Depot,"battery, plate",
Capitola,3/18/2020,$50.00,buena vista landfill,dump,
Capitola,3/23/2020,$76.25,Home Depot,"drop cloth, roller cover, scotchblue",
Capitola,3/24/2020,$82.25,Home Depot,paint,
mattison,3/24/2020,$692.76,San Lorenzo Lumber,window,
Capitola,3/25/2020,$30.28,San Lorenzo Lumber,lumber,
Capitola,3/25/2020,$69.49,San Lorenzo Lumber,"coronado, stool, stop",
Capitola,3/26/2020,$84.01,Home Depot,"AFCI/GFCI, flooring installation kit, sensor",
Capitola,4/1/2020,"$5,960.00",greg,"2 showers, 2 vanities",
Capitola,4/1/2020,$500.00,greg,3 tops,
Capitola,4/3/2020,$24.00,buena vista landfill,dump,
Capitola,4/3/2020,$22.64,Home Depot,"diffuser, clamp",
Capitola,4/5/2020,$450.00,Interior Vision,bathroom vinyl planks,
Capitola,4/6/2020,$49.98,Home Depot,"LED, joint tailpiece",
Capitola,4/7/2020,$35.59,Home Depot,"angle stop, wallplate, small misc",
Capitola,4/8/2020,$40.12,Home Depot,paint,
Capitola,4/8/2020,$34.01,San Lorenzo Lumber,"casing, coronado",
Capitola,4/8/2020,"$1,356.49",Home Depot,"breaker poles, breaker wire, slef modulating tankless",
Capitola,4/9/2020,$6.15,Home Depot,screw,
Capitola,4/9/2020,$43.55,Two Stone Cabinets & Tile,pulls,
Capitola,4/13/2020,$65.29,Home Depot,breaker pole ,
Capitola,4/13/2020,$50.76,Home Depot,"ground rod, ground clamp",
Capitola,4/22/2020,$27.10,San Lorenzo Lumber,"coupling, pipe",
Capitola,4/22/2020,$41.26,Ferguson,propex ring,
Capitola,4/23/2020,$741.18,San Lorenzo Lumber,"slab, door, hinge",
mattison,4/24/2020,$109.13,Home Depot,"paint, rollers",
mattison,4/28/2020,$692.76,San Lorenzo Lumber,awning,
mattison,5/11/2020,$443.85,San Lorenzo Lumber,awning sash,
mattison,5/26/2020,$392.67,San Lorenzo Lumber,lumber,
Aptos,6/2/2020,$63.89,San Lorenzo Lumber,sheathing,
mattison,6/5/2020,$369.70,Monterey Bay Rebar,cages,
mattison,6/5/2020,$164.53,Graniterock,sonotube,
mattison,6/8/2020,$106.19,San Lorenzo Lumber,"latch, screw, bits, small misc",
mattison,6/9/2020,$66.34,San Lorenzo Lumber,"concrete spacer, hanger, elbow",
mattison,6/10/2020,$54.84,Graniterock,sonotube,
Aptos,6/23/2020,$265.00,Buena Vista Landfill,dump,
Aptos,6/23/2020,$98.25,Home Depot,"blade, dust bag",
Aptos,6/24/2020,$104.02,Home Depot,"dustopper, dust bag filter, shopvac",
Aptos,6/25/2020,$287.00,Buena Vista Landfill,dump,
Aptos,6/29/2020,$224.98,San Lorenzo Lumber,"trowel, crimp, scrape blade, other misc",
Aptos,6/29/2020,$14.70,San Lorenzo Lumber,mask,
Aptos,6/30/2020,$227.14,San Lorenzo Lumber,"lumber, flashing",
Aptos,6/30/2020,$329.46,San Lorenzo Lumber,"lumber, flashing",
Aptos,6/30/2020,$30.18,San Lorenzo Lumber,"scraper, putty",
Aptos,6/30/2020,$66.66,San Lorenzo Lumber,flashing,
Aptos,7/1/2020,$27.46,San Lorenzo Lumber,lumber  ,
Aptos,7/1/2020,$108.88,San Lorenzo Lumber,"post cap, quick install",
Aptos,7/2/2020,$71.68,San Lorenzo Lumber,"lumber, flashing",
Aptos,7/2/2020,$45.27,San Lorenzo Lumber,"nozzle, seal",
Aptos,7/2/2020,$151.42,Big Creek Lumber,"flashing, caulking",
Aptos,7/3/2020,$70.05,San Lorenzo Lumber,lumber  ,
westcliff,7/6/2020,$135.31,Home depot,"board, drop cloth",
Aptos,7/7/2020,$191.83,Home Depot,"paint, hammer",
westcliff,7/7/2020,$42.71,San Lorenzo Lumber,lumber,
Aptos,7/8/2020,$87.40,Home Depot,"uplift post base, paint",
westcliff,7/8/2020,$137.05,City of SC Landfill,dump,
westcliff,7/8/2020,$411.98,Graniterock,"denshield, wallboard",
westcliff,7/9/2020,$193.31,Home depot,"shrink coil, wire, screw",
westcliff,7/9/2020,$71.87,San Lorenzo Lumber,R-13 kraft,
westcliff,7/9/2020,$305.00,Ferguson,"grohflex, plumbite",
westcliff,7/10/2020,$100.09,Home depot,"shower drain, carpet protect, solvent",
westcliff,7/10/2020,$98.07,Home depot,"dryer vent hood, duct, hookup kit",
westcliff,7/10/2020,$64.10,City of SC Landfill,dump,
westcliff,7/10/2020,$54.48,San Lorenzo Lumber,lumber,
westcliff,7/10/2020,$363.96,Independent Electric,"fan, timer",
westcliff,7/10/2020,"$5,873.52",Bay Area Floors,"demo, prepare, install",
westcliff,7/11/2020,"$1,528.16",Ferguson,shower base,
Aptos,7/13/2020,$898.55,San Lorenzo Lumber,trex,
Aptos,7/13/2020,$414.27,San Lorenzo Lumber,trex,
Aptos,7/13/2020,$28.16,San Lorenzo Lumber,lumber,
Aptos,7/13/2020,$119.04,Home Depot,"silka adhesive, contractor bags",
Hill,7/13/2020,$44.94,Home Depot,primer,
westcliff,7/13/2020,$28.16,San Lorenzo Lumber,lumber,
Aptos,7/14/2020,$89.49,Home Depot,fuzeit all surface,
Aptos,7/15/2020,$70.33,Home Depot,"paint, brushes",
westcliff,7/15/2020,$464.82,Home depot,"LED disc, dimmer",
Aptos,7/16/2020,"$1,051.60",San Lorenzo Lumber,lumber,
Hill,7/16/2020,$29.98,Home Depot,paint,
westcliff,7/16/2020,$155.00,D&G Santitation,portable restroom,
Aptos,7/17/2020,$399.61,San Lorenzo Lumber,lumber,
Aptos,7/17/2020,$10.39,Home Depot,deckscrew,
westcliff,7/17/2020,$25.65,City of SC Landfill,dump,
westcliff,7/20/2020,$114.78,San Lorenzo Lumber,"joint compound, screw, plumbite",
Aptos,7/21/2020,$930.08,San Lorenzo Lumber,lumber,
Aptos,7/21/2020,$327.63,San Lorenzo Lumber,"trex clip, screw",
Aptos,7/22/2020,"$1,230.38",San Lorenzo Lumber,lumber,
Aptos,7/22/2020,$72.99,Big Creek Lumber,lumber,
Aptos,7/22/2020,$130.00,Manasquan Premium Fasteners,headcote trim,
westcliff,7/22/2020,$164.48,San Lorenzo Lumber,"colonial crown, coronada",
westcliff,7/22/2020,$850.99,Ferguson,"hose, shower set",
westcliff,7/23/2020,$191.10,Home depot,LED disc,
westcliff,7/23/2020,$98.19,Kelly Moore Paints,paint,
westcliff,7/23/2020,$121.42,San Lorenzo Lumber,"colonial crown, riviera",
Aptos,7/24/2020,$123.82,San Lorenzo Lumber,trex saddle,
Aptos,7/24/2020,$74.80,San Lorenzo Lumber,lumber,
westcliff,7/24/2020,$31.57,Home depot,hole cutter,
westcliff,7/28/2020,$99.58,San Lorenzo Lumber,lumber,
westcliff,7/28/2020,$208.25,Home depot,"rectacle, wall plate, outlets",
westcliff,7/29/2020,"$1,382.61",Home depot,passage door,
Hill,7/30/2020,$77.08,San Lorenzo Lumber,"lumber, wood cap",
Hill,7/30/2020,$33.60,San Lorenzo Lumber,"lumber, concete mix",
Aptos,7/31/2020,$25.32,d&g sanitation,portable toilet,
Aptos,7/31/2020,$144.59,Aptos Landscape Supply,,
Hill,7/31/2020,$251.51,San Lorenzo Lumber,lumber,
Hill,8/3/2020,$47.04,San Lorenzo Lumber,"bit set, blade",
Hill,8/3/2020,$377.56,San Lorenzo Lumber,lumber,
westcliff,8/3/2020,$47.07,San Lorenzo Lumber,"blade, jobber",
westcliff,8/4/2020,$789.28,Home depot,"toilets, disposal, paint",
westcliff,8/5/2020,$65.27,San Lorenzo Lumber,recess light,
westcliff,8/5/2020,$535.57,Home depot,"smoke alarm, towel bar, towel ring",
westcliff,8/5/2020,$64.29,Ferguson,"spud washer, push pu",
westcliff,8/6/2020,$22.56,Home depot,"elbow, flexfix",
westcliff,8/6/2020,$36.70,Home depot,"elbow, adapter, small misc",
westcliff,8/6/2020,$43.70,Home depot,"primer, duct",
westcliff,8/7/2020,$56.43,San Lorenzo Lumber,"shower curtain, recess light",
westcliff,8/7/2020,$153.11,Home depot,"outlets, hooks, ,drill bit, misc",
westcliff,8/8/2020,$67.00,Westside Hardware,"handshower, hardwood microfiber, cloths",
Hill,8/10/2020,$57.02,San Lorenzo Lumber,"brushes, roller cover",
Hill,8/10/2020,$225.09,Home Depot,"stain, liner, other misc",
westcliff,8/11/2020,$64.65,Home depot,"water meter valve key, other misc",
summit,8/12/2020,$142.83,San Lorenzo Lumber,"post base, wall spacer, towels",
westcliff,8/13/2020,$114.58,San Lorenzo Lumber,"multimeter, brushes, solder, other misc",
westcliff,8/13/2020,$31.80,City of SC Landfill,dump,
summit,8/17/2020,$269.28,San Lorenzo Lumber,lumber,
summit,8/17/2020,$15.13,San Lorenzo Lumber,torch screw,
summit,8/17/2020,$233.03,San Lorenzo Lumber,lumber,
westcliff,8/18/2020,$68.74,Home depot,"lockset, balboa",
summit,8/18/2020,$6.98,San Lorenzo Lumber,framing anchor,
summit,8/18/2020,"$1,061.88",San Lorenzo Lumber,lumber,
summit,8/18/2020,$324.72,San Lorenzo Lumber,lumber,
summit,8/18/2020,$536.85,San Lorenzo Lumber,lumber,
summit,8/20/2020,$111.30,San Lorenzo Lumber,"spacer, fastener, screw",
summit,8/20/2020,$250.66,San Lorenzo Lumber,lumber,
summit,8/21/2020,$12.25,San Lorenzo Lumber,torch screw,
summit,8/21/2020,$35.76,San Lorenzo Lumber,"hanger, threaded rod",
summit,8/21/2020,$181.68,San Lorenzo Lumber,"sheathing, rebar, lumber",
summit,8/21/2020,$25.00,Buena Vista Landfill,dump,
westcliff,8/24/2020,$19.67,Home depot,roller for sliding doors,
summit,8/25/2020,$133.14,San Lorenzo Lumber,"post cap, post base",
summit,8/26/2020,$54.81,San Lorenzo Lumber,concrete mix,
summit,8/27/2020,$281.63,San Lorenzo Lumber,"joist hanger, post cap, drive screw, adjustable base",
summit,8/27/2020,"$5,624.14",San Lorenzo Lumber,timbertech,
summit,8/31/2020,$82.62,San Lorenzo Lumber,concrete mix,
summit,9/1/2020,$57.61,San Lorenzo Lumber,"form tube, concrete mix",
summit,9/2/2020,$456.87,Big Creek,"fastener, trapease, wood preservative",
summit,9/2/2020,-$117.00,San Lorenzo Lumber,return,
summit,9/2/2020,$90.88,San Lorenzo Lumber,concrete mix,
summit,9/4/2020,$78.81,San Lorenzo Lumber,lumber,
summit,9/4/2020,$42.37,Home Depot,diablo fine finish,
summit,9/8/2020,$85.71,San Lorenzo Lumber,"adjustable base, washer",
summit,9/8/2020,"$1,060.00",San Lorenzo Lumber,fascia,
summit,9/9/2020,$19.53,San Lorenzo Lumber,"bolt, hanger, washer",
summit,9/10/2020,$14.32,San Lorenzo Lumber,joist hanger   ,
summit,9/10/2020,$41.76,San Lorenzo Lumber,lumber,
summit,9/14/2020,$115.17,Big Creek,fastner  ,
summit,9/15/2020,$247.98,Home Depot,"miter saw, other misc",
summit,9/16/2020,$235.05,San Lorenzo Lumber,"hidden fastners, compact blower",
summit,9/17/2020,$42.21,San Lorenzo Lumber,lumber,
summit,9/21/2020,$654.65,San Lorenzo Lumber,lumber - Ashwood,
mattison,9/22/2020,$350.00,Rivera's Concrete Pumping,,
summit,9/22/2020,$44.24,San Lorenzo Lumber,trapease pebble screw,
mattison,9/24/2020,$443.85,San Lorenzo Lumber,replacement awning,
summit,9/24/2020,"$1,060.00",San Lorenzo Lumber,fascia,
mattison,9/26/2020,$930.91,Graniterock,"fly ash, short load",
mattison,9/29/2020,$235.62,San Lorenzo Lumber,lumber,
mattison,9/29/2020,$109.87,San Lorenzo Lumber,"drive screw, post base",
mattison,9/29/2020,$197.60,Big Creek,post base   ,
summit,9/29/2020,"$3,000.00",SeaBerg metal fabricators,rail,
summit,9/30/2020,$127.75,Sherwin Williams,paint,
summit,10/2/2020,$201.30,Sherwin Williams,"readymix, spraygun, tape",
summit,10/6/2020,$52.04,San Lorenzo Lumber,"screws, washers",
mattison,10/7/2020,$28.70,Home Depot,silicone,
